Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
mercedesbenz c 200 d avantgarde aut,33500,mercedes-benz,diesel,67000,1598,136,combi,automatic,2018
mercedesbenz a 200 amg line,34800,mercedes-benz,gaz,3222,1332,163,compact,manual,2020
peugeot 2008,26900,peugeot,diesel,15000,1499,110,suv,manual,2021
jaguar ipace s awd aut,54900,jaguar,electric,39000,500,400,suv,automatic,2018
toyota hilux 2 5 d4d 4wd cd,17900,toyota,diesel,300000,2494,120,suv,manual,2009
vw passat variant 1 6 tdi confortline,12890,vw,diesel,260216,1598,120,combi,manual,2016
mercedesbenz cl 500 coup,15990,mercedes-benz,gaz,216452,4966,306,coupe,automatic,2003
toyota auris touring sports,16250,toyota,diesel,226502,1364,90,combi,automatic,2016
bmw 116 d,23350,bmw,diesel,81000,1496,116,city-car,manual,2019
bmw 216 gran tourer d advantage,20990,bmw,diesel,67150,1496,116,minivan,manual,2017
mercedesbenz glc 300 d 4matic,68950,mercedes-benz,diesel,49500,1950,245,suv,automatic,2019
peugeot 208 1 2 puretech active pack,18990,peugeot,gaz,25500,1199,101,city-car,manual,2021
citron c3 aircross 1 2 puretech feel,16900,citroen,gaz,44000,1199,82,city-car,manual,2018
citron ax 14 gti,9999,citroen,gaz,1111,1360,100,city-car,manual,1991
peugeot 108 top 1 0 evti active,8750,peugeot,gaz,108000,998,68,mini,manual,2014
peugeot 508 sw,29500,peugeot,diesel,16437,1499,131,combi,manual,2019
bmw 318 d touring line luxury auto,15990,bmw,diesel,279000,1995,150,combi,automatic,2015
porsche 911,137500,porsche,gaz,40000,2981,420,cabrio,automatic,2017
mercedesbenz c 220 cdi be,22250,mercedes-benz,diesel,120000,2143,170,coupe,manual,2013
seat arona 1 0 tsi xcellence,18350,seat,gaz,12800,999,95,suv,manual,2019
opel corsa 1 3 cdti enjoy ecoflex,9500,opel,diesel,86000,1248,95,city-car,manual,2012
audi a3 sportback 2 0 tdi quattro sline,25500,audi,diesel,168544,1968,150,compact,manual,2015
mercedesbenz e 220 d avantgarde,62500,mercedes-benz,diesel,100,1950,194,combi,automatic,2022
mercedesbenz 220,6500,mercedes-benz,diesel,365000,2200,143,coupe,manual,2002
renault master 2 3 dci l2h2 3 5t ss,17490,renault,diesel,210136,2299,145,combi,manual,2016
audi a4 avant 35 tdi advanced s tronic,41900,audi,diesel,12872,1968,163,combi,automatic,2020
land rover range rover 3 0 td6 vogue,20900,land-rover,diesel,323000,2926,177,suv,automatic,2003
seat ibiza st 1 2 tdi style dpf,9800,seat,diesel,145000,1199,75,combi,manual,2011
toyota aygo 1 0 x,10990,toyota,gaz,74663,998,69,city-car,manual,2018
mercedesbenz c 220,14500,mercedes-benz,diesel,260000,2143,170,combi,manual,2010
opel corsa 1 3 cdti city 88g,4990,opel,diesel,321543,1248,95,city-car,manual,2014
opel crossland 1 2 t business edition,20290,opel,gaz,1500,1199,110,suv,manual,2022
renault mgane,19900,renault,diesel,126108,1461,110,combi,manual,2017
porsche cayenne ehybrid,119900,porsche,hibride-gaz,10390,2995,462,suv,automatic,2020
vw golf variant 1 6 tdi rline,21500,vw,diesel,87947,1598,115,combi,manual,2018
renault laguna break 1 9 dci privilge,3950,renault,diesel,212000,1870,120,combi,manual,2007
bmw x3 2 0 d,8790,bmw,diesel,318000,1995,177,suv,manual,2007
volvo v60 2 0 t6 awd te inscription,56100,volvo,hibride-gaz,5000,1969,340,combi,automatic,2021
ferrari california t,158000,ferrari,gaz,67800,3855,560,cabrio,automatic,2014
peugeot 3008 1 5 bluehdi active pack,34900,peugeot,diesel,8200,1499,130,suv,manual,2021
jaguar fpace 2 0 i4d rsport aut,62850,jaguar,diesel,29484,1999,180,suv,automatic,2019
renault mgane,1250,renault,diesel,281661,1461,82,sedan,manual,2004
bmw 630 gran turismo d pack m,45990,bmw,diesel,242736,2993,265,sedan,automatic,2019
